Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Neve Fresca ( cm );Neve al Suolo ( cm );Neve Altezza Massima ( cm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Radiazione totale ( MJ/mq );
11/02/2019;0,0;0,0;0;0;;8,2;13,9;1,3;36;99;11;11,1;
12/02/2019;0,0;0,0;0;0;;6,2;13,2;-0,2;41;67;16;9,7;
13/02/2019;0,0;0,0;0;0;;5,6;12,7;0,3;56;83;32;10,7;
14/02/2019;0,0;0,0;0;0;;6,8;14,7;0,5;59;88;28;11,1;
15/02/2019;0,0;0,0;0;0;;7,7;16,3;1,4;65;90;34;11,0;
16/02/2019;0,0;0,0;0;0;;7,9;15,1;2,4;66;94;36;10,9;
17/02/2019;0,0;0,0;0;0;;8,1;16,9;1,4;64;96;31;11,4;
18/02/2019;0,0;0,0;0;0;;8,2;16,3;2,2;64;89;33;11,8;
19/02/2019;0,0;0,0;0;0;;7,6;14,9;1,7;73;99;42;11,7;
20/02/2019;0,0;0,0;0;0;;7,6;14,9;1,6;74;99;45;11,6;
21/02/2019;0,0;0,0;0;0;;8,3;15,9;1,9;73;97;46;11,9;
22/02/2019;0,0;0,0;0;0;;11,3;21,2;4,0;54;89;19;13,4;
23/02/2019;0,0;0,0;0;0;;7,3;10,9;4,2;62;87;51;7,7;
24/02/2019;0,0;0,0;0;0;;6,5;12,0;0,5;55;84;31;13,8;
25/02/2019;0,0;0,0;0;0;;8,0;16,8;1,0;57;86;25;13,6;
26/02/2019;0,0;0,0;0;0;;10,5;20,3;3,4;57;83;26;12,5;
27/02/2019;0,0;0,0;0;0;;12,5;22,5;5,1;53;77;21;14,3;
28/02/2019;0,0;0,0;0;0;;12,6;20,3;5,4;56;81;30;13,7;
01/03/2019;0,0;0,0;0;0;;12,5;21,2;5,5;48;90;14;15,5;
02/03/2019;0,0;0,0;0;0;;11,6;19,1;4,9;40;64;20;11,2;
03/03/2019;0,0;0,0;0;0;;11,3;19,0;4,1;48;77;25;13,5;
04/03/2019;0,0;0,0;0;0;;10,2;15,6;4,0;57;85;24;11,3;
05/03/2019;0,0;0,0;0;0;;11,0;18,9;4,1;49;83;19;16,1;
06/03/2019;0,0;0,0;0;0;;8,9;14,3;4,0;68;98;43;8,6;
07/03/2019;9,8;0,6;0;0;;10,1;15,1;7,7;85;99;58;11,8;
08/03/2019;0,0;9,2;0;0;;10,9;17,9;5,2;75;99;47;15,1;
09/03/2019;0,0;0,0;0;0;;11,5;18,2;4,8;69;97;39;15,9;
10/03/2019;0,0;0,0;0;0;;13,6;20,4;6,2;65;97;19;15,7;
11/03/2019;0,0;0,0;0;0;;12,6;17,2;4,4;23;43;11;16,7;
12/03/2019;0,0;0,0;0;0;;8,0;14,4;1,5;31;53;12;18,0;
13/03/2019;0,0;0,0;0;0;;9,6;16,4;2,2;34;65;10;18,4;
14/03/2019;0,0;0,0;0;0;;11,1;18,3;2,4;39;64;15;16,8;
15/03/2019;0,0;0,0;0;0;;14,2;22,3;5,9;46;74;22;16,6;
16/03/2019;0,0;0,0;0;0;;16,2;24,4;10,0;48;77;22;16,9;
17/03/2019;0,0;0,0;0;0;;10,0;12,3;6,9;85;98;74;3,7;
18/03/2019;0,0;0,0;0;0;;12,0;18,1;5,6;27;97;11;18,9;
19/03/2019;0,0;0,0;0;0;;9,1;14,8;2,7;46;82;13;19,6;
20/03/2019;0,0;0,0;0;0;;8,8;14,6;3,5;47;69;22;18,9;
21/03/2019;0,0;0,0;0;0;;9,7;16,9;2,5;46;76;22;19,6;
22/03/2019;0,0;0,0;0;0;;11,9;21,1;3,6;41;70;19;19,7;
23/03/2019;0,0;0,0;0;0;;13,7;22,5;5,1;41;67;17;19,3;
24/03/2019;0,0;0,0;0;0;;15,1;24,2;6,8;42;68;19;19,4;
25/03/2019;0,0;0,0;0;0;;15,7;23,1;8,4;35;68;14;19,8;
26/03/2019;0,0;0,0;0;0;;10,7;16,9;5,7;32;75;11;19,6;
27/03/2019;0,0;0,0;0;0;;9,8;16,1;3,4;41;63;24;20,4;
28/03/2019;0,0;0,0;0;0;;9,9;16,4;3,6;50;73;31;20,0;
29/03/2019;0,0;0,0;0;0;;11,4;17,8;4,6;50;77;27;19,3;
30/03/2019;0,0;0,0;0;0;;13,1;21,3;4,9;44;77;19;20,6;
31/03/2019;0,0;0,0;0;0;;13,8;22,4;6,1;39;71;16;20,7;
01/04/2019;0,0;0,0;0;0;;14,1;22,3;5,8;37;65;13;18,1;
02/04/2019;0,0;0,0;0;0;;14,3;21,3;7,9;48;69;30;13,6;
03/04/2019;0,0;0,0;0;0;;10,7;14,5;7,5;77;99;51;6,4;
04/04/2019;21,2;13,4;0;0;;8,4;12,8;5,4;88;99;59;5,9;
05/04/2019;20,6;28,2;0;0;;11,0;19,0;3,3;65;99;25;22,9;
06/04/2019;0,0;0,2;0;0;;11,2;16,6;6,5;76;97;52;11,4;
07/04/2019;1,4;1,4;0;0;;9,4;10,9;7,5;83;97;71;4,9;
08/04/2019;1,8;1,8;0;0;;12,7;20,0;6,6;60;97;26;23,8;
09/04/2019;0,0;0,0;0;0;;13,2;20,5;6,2;65;96;31;20,8;
10/04/2019;0,0;0,0;0;0;;12,1;19,1;8,1;76;99;41;12,5;
11/04/2019;15,2;14,6;0;0;;10,9;14,0;9,1;89;99;75;5,7;
12/04/2019;9,6;7,0;0;0;;11,6;15,9;9,5;86;99;59;10,7;
13/04/2019;7,0;4,0;0;0;;11,2;14,7;8,9;83;99;63;9,2;
14/04/2019;0,0;6,2;0;0;;10,1;14,6;6,7;71;92;44;18,9;
15/04/2019;0,0;0,0;0;0;;12,4;18,2;7,2;60;90;32;16,0;
16/04/2019;0,0;0,0;0;0;;12,7;18,1;6,6;61;93;34;12,6;
17/04/2019;0,0;0,0;0;0;;14,5;22,0;7,1;61;96;29;23,2;
18/04/2019;0,0;0,0;0;0;;15,2;21,1;8,6;59;92;26;20,4;
19/04/2019;0,0;0,0;0;0;;15,4;21,8;9,7;57;88;28;21,9;
20/04/2019;0,0;0,0;0;0;;15,6;22,5;8,0;53;92;20;22,8;
21/04/2019;0,0;0,0;0;0;;16,3;21,5;11,9;47;70;22;12,3;
22/04/2019;0,0;0,0;0;0;;15,3;19,5;10,4;56;97;31;12,7;
23/04/2019;20,2;7,4;0;0;;11,2;12,2;9,9;98;99;94;2,0;
24/04/2019;20,0;32,4;0;0;;13,2;18,6;10,5;89;99;55;8,7;
25/04/2019;1,4;1,8;0;0;;11,9;14,4;8,4;85;99;68;4,4;
26/04/2019;0,6;0,0;0;0;;14,0;20,2;8,2;71;95;39;17,2;
27/04/2019;0,2;0,8;0;0;;15,5;22,8;6,3;51;99;19;27,0;
28/04/2019;0,0;0,0;0;0;;15,3;20,4;9,1;28;62;16;29,5;
29/04/2019;0,0;0,0;0;0;;13,7;20,2;7,3;44;79;23;25,9;
30/04/2019;0,0;0,0;0;0;;15,2;22,5;7,0;50;88;24;27,9;
01/05/2019;0,0;0,0;0;0;;16,7;23,0;10,9;56;82;31;27,2;
02/05/2019;0,0;0,0;0;0;;14,6;20,6;9,7;77;99;49;18,9;
03/05/2019;16,6;16,6;0;0;;13,9;20,2;11,0;82;99;47;17,5;
04/05/2019;11,2;11,2;0;0;;15,2;21,2;10,1;64;99;25;26,4;
05/05/2019;2,2;0,0;0;0;;12,4;17,0;7,4;48;98;21;18,9;
06/05/2019;0,0;2,2;0;0;;13,1;19,0;4,9;35;73;20;29,6;
07/05/2019;0,0;0,0;0;0;;13,2;19,8;5,8;56;85;37;21,5;
08/05/2019;0,0;0,0;0;0;;11,3;13,3;9,4;86;99;58;2,5;
09/05/2019;11,4;11,2;0;0;;14,0;21,2;9,0;80;99;41;23,4;
10/05/2019;0,0;0,2;0;0;;16,6;23,0;9,2;68;99;35;25,4;
11/05/2019;0,0;0,0;0;0;;16,4;22,3;11,5;69;95;21;20,4;
12/05/2019;0,0;0,0;0;0;;16,3;21,9;9,6;43;81;17;22,4;
13/05/2019;0,0;0,0;0;0;;17,3;23,5;11,4;43;75;22;22,9;
14/05/2019;0,0;0,0;0;0;;15,4;21,9;9,2;61;89;39;18,1;
15/05/2019;0,0;0,0;0;0;;14,0;20,1;9,6;48;83;22;29,8;
16/05/2019;0,0;0,0;0;0;;14,7;20,6;7,3;58;88;40;22,9;
17/05/2019;0,2;0,0;0;0;;11,8;14,6;9,7;89;99;68;2,7;
18/05/2019;19,6;12,2;0;0;;11,1;12,6;9,4;97;99;92;3,6;
19/05/2019;14,6;16,0;0;0;;13,0;17,1;10,9;91;99;67;8,8;
20/05/2019;8,8;14,2;0;0;;14,6;20,0;11,1;86;99;56;13,6;
21/05/2019;0,2;1,0;0;0;;16,4;25,2;9,8;82;99;42;26,4;
22/05/2019;12,0;12,0;0;0;;18,5;25,9;12,4;70;99;42;25,6;
23/05/2019;8,8;8,6;0;0;;19,2;25,5;13,1;69;99;38;27,1;
24/05/2019;0,0;0,2;0;0;;17,4;25,8;13,0;81;99;45;15,4;
25/05/2019;3,4;3,4;0;0;;17,1;23,8;13,2;85;99;51;13,8;
26/05/2019;15,6;11,4;0;0;;17,0;21,4;14,2;82;99;55;13,4;
27/05/2019;0,0;4,2;0;0;;16,3;17,5;14,8;89;99;76;5,4;
28/05/2019;3,4;3,4;0;0;;16,6;21,9;12,9;82;99;60;14,2;
29/05/2019;1,8;1,8;0;0;;16,9;23,5;9,7;66;99;30;23,6;
30/05/2019;0,0;0,0;0;0;;18,6;25,2;10,7;59;99;30;30,0;
31/05/2019;0,0;0,0;0;0;;18,6;24,8;12,6;66;92;42;25,9;
01/06/2019;0,0;0,0;0;0;;20,8;27,9;13,1;62;97;32;29,2;
02/06/2019;0,0;0,0;0;0;;22,7;29,5;14,8;58;90;33;29,3;
03/06/2019;0,0;0,0;0;0;;23,4;30,4;16,5;61;89;35;27,0;
04/06/2019;0,2;0,2;0;0;;23,5;29,8;16,1;61;90;40;24,9;
05/06/2019;0,0;0,0;0;0;;22,0;28,8;16,2;69;88;46;21,0;
06/06/2019;0,0;0,0;0;0;;19,6;24,8;14,9;71;87;49;16,2;
07/06/2019;0,0;0,0;0;0;;18,9;22,6;14,5;72;91;59;12,7;
08/06/2019;0,0;0,0;0;0;;22,0;27,8;15,4;60;90;35;25,7;
09/06/2019;0,0;0,0;0;0;;20,6;24,0;16,8;75;88;53;11,7;
10/06/2019;1,0;1,0;0;0;;20,6;24,6;17,1;78;99;53;11,6;
11/06/2019;9,8;9,8;0;0;;18,6;23,3;13,8;78;93;55;11,8;
12/06/2019;1,4;1,4;0;0;;20,1;27,1;14,4;72;95;36;19,8;
13/06/2019;0,0;0,0;0;0;;20,1;26,7;12,4;63;98;38;28,4;
14/06/2019;0,0;0,0;0;0;;22,1;28,8;15,0;60;91;29;24,2;
15/06/2019;0,6;0,6;0;0;;22,3;28,4;16,5;70;93;44;19,9;
16/06/2019;0,0;0,0;0;0;;23,1;30,5;14,7;58;98;29;30,4;
17/06/2019;0,0;0,0;0;0;;23,8;30,2;16,3;58;84;32;29,3;
18/06/2019;0,0;0,0;0;0;;24,4;30,4;17,6;60;85;32;21,3;
19/06/2019;0,0;0,0;0;0;;25,5;31,5;19,2;54;79;32;27,1;
20/06/2019;0,0;0,0;0;0;;22,7;29,8;18,2;71;99;43;21,0;
21/06/2019;2,0;2,0;0;0;;20,6;28,9;15,9;86;99;47;15,1;
22/06/2019;55,4;55,4;0;0;;20,7;25,6;16,7;77;99;56;18,1;
23/06/2019;0,2;0,2;0;0;;23,3;30,5;16,0;63;98;33;30,1;
24/06/2019;0,0;0,0;0;0;;25,6;31,8;17,9;63;92;37;26,2;
25/06/2019;0,0;0,0;0;0;;27,4;33,5;20,2;64;91;42;26,1;
26/06/2019;0,0;0,0;0;0;;29,2;35,3;22,4;63;88;39;26,4;
27/06/2019;0,0;0,0;0;0;;30,4;38,4;23,5;62;92;23;28,3;
28/06/2019;0,0;0,0;0;0;;31,0;38,0;21,8;53;86;24;29,1;
29/06/2019;0,0;0,0;0;0;;28,4;32,4;24,1;58;81;37;26,4;
30/06/2019;0,0;0,0;0;0;;28,6;33,9;23,1;58;82;40;22,3;
01/07/2019;0,0;0,0;0;0;;26,7;34,9;21,0;67;99;35;22,8;
02/07/2019;37,0;37,0;0;0;;26,7;32,9;20,2;50;86;30;23,0;
03/07/2019;0,0;0,0;0;0;;24,4;31,8;20,0;67;97;43;22,0;
04/07/2019;11,6;11,6;0;0;;25,2;31,0;18,5;65;95;43;28,3;
05/07/2019;0,0;0,0;0;0;;27,1;33,7;20,0;61;90;35;28,8;
06/07/2019;0,0;0,0;0;0;;27,3;33,2;21,3;67;90;44;24,6;
07/07/2019;0,0;0,0;0;0;;27,3;33,1;21,5;66;89;41;25,1;
08/07/2019;0,0;0,0;0;0;;26,7;33,2;20,8;62;89;26;26,8;
09/07/2019;0,0;0,0;0;0;;24,3;28,5;20,2;73;89;58;13,9;
10/07/2019;0,0;0,0;0;0;;24,3;29,2;20,0;69;86;50;14,8;
11/07/2019;0,0;0,0;0;0;;23,5;27,3;19,5;65;81;48;15,6;
12/07/2019;0,0;0,0;0;0;;24,7;31,6;17,9;62;90;30;28,1;
13/07/2019;0,0;0,0;0;0;;25,2;31,6;18,7;58;92;31;26,6;
14/07/2019;0,0;0,0;0;0;;23,4;29,9;17,2;61;99;33;23,9;
15/07/2019;88,8;31,2;0;0;;16,2;21,1;13,8;94;99;62;4,1;
16/07/2019;21,4;79,0;0;0;;21,7;29,1;13,5;63;98;34;29,7;
17/07/2019;0,0;0,0;0;0;;23,5;29,9;16,4;62;94;34;27,3;
18/07/2019;0,0;0,0;0;0;;23,4;29,0;17,5;65;87;43;22,9;
19/07/2019;0,0;0,0;0;0;;24,1;29,5;18,5;68;92;47;20,6;
20/07/2019;0,0;0,0;0;0;;25,6;30,7;20,9;67;85;44;21,5;
21/07/2019;0,0;0,0;0;0;;26,7;31,5;20,9;67;90;49;21,3;
22/07/2019;0,0;0,0;0;0;;27,3;32,7;21,9;69;93;43;24,8;
23/07/2019;0,0;0,0;0;0;;28,1;33,9;22,1;67;92;40;24,7;
24/07/2019;0,0;0,0;0;0;;28,6;34,8;22,8;66;92;36;23,7;
25/07/2019;0,0;0,0;0;0;;29,2;35,3;23,2;67;93;39;23,4;
26/07/2019;0,0;0,0;0;0;;27,9;34,5;19,1;64;99;36;26,2;
27/07/2019;61,8;61,8;0;0;;21,3;27,8;18,6;83;99;52;11,5;
28/07/2019;5,6;5,4;0;0;;23,5;29,3;18,7;67;94;33;23,9;
29/07/2019;0,0;0,2;0;0;;25,8;31,7;18,3;56;82;34;27,4;
30/07/2019;0,0;0,0;0;0;;26,5;32,4;20,0;63;86;41;27,1;
31/07/2019;0,0;0,0;0;0;;25,3;30,3;20,9;74;99;50;20,5;
01/08/2019;4,4;4,4;0;0;;25,3;30,7;20,9;76;99;49;16,6;
02/08/2019;0,0;0,0;0;0;;24,8;30,3;19,6;67;90;43;22,3;
03/08/2019;0,0;0,0;0;0;;24,5;30,6;18,2;60;94;37;25,0;
04/08/2019;0,0;0,0;0;0;;24,6;30,2;18,8;67;89;46;22,3;
05/08/2019;0,0;0,0;0;0;;25,8;31,4;20,8;65;87;45;20,3;
06/08/2019;0,0;0,0;0;0;;25,5;30,8;21,2;72;92;51;17,9;
07/08/2019;0,6;0,2;0;0;;22,4;25,7;20,5;85;93;73;7,0;
08/08/2019;0,0;0,4;0;0;;24,8;30,5;19,1;73;99;46;24,7;
09/08/2019;0,0;0,0;0;0;;25,8;30,7;20,6;74;93;52;16,2;
10/08/2019;0,0;0,0;0;0;;27,3;32,7;22,5;73;93;51;18,1;
11/08/2019;0,0;0,0;0;0;;25,5;32,1;22,2;85;99;54;17,5;
12/08/2019;35,2;35,0;0;0;;23,0;28,3;19,2;92;99;72;12,2;
13/08/2019;7,6;7,8;0;0;;22,6;28,5;17,2;68;99;32;20,5;
14/08/2019;0,0;0,0;0;0;;21,7;28,1;15,3;60;91;27;23,7;
15/08/2019;0,0;0,0;0;0;;21,5;27,8;15,9;68;90;43;21,2;
16/08/2019;0,0;0,0;0;0;;21,8;28,0;16,2;71;97;43;20,8;
17/08/2019;0,0;0,0;0;0;;23,5;29,0;18,0;66;89;46;17,2;
18/08/2019;0,0;0,0;0;0;;24,0;28,8;19,6;72;90;51;13,5;
19/08/2019;0,0;0,0;0;0;;23,8;30,3;19,6;80;95;48;17,6;
20/08/2019;1,0;1,0;0;0;;23,3;28,0;20,3;81;96;58;12,0;
21/08/2019;0,0;0,0;0;0;;24,6;30,9;19,5;69;97;42;20,0;
22/08/2019;1,2;0,0;0;0;;21,8;26,2;18,2;83;98;61;9,1;
23/08/2019;2,0;3,2;0;0;;22,1;27,7;17,5;82;99;56;13,5;
24/08/2019;0,0;0,0;0;0;;23,8;30,5;18,1;73;99;41;20,5;
25/08/2019;0,0;0,0;0;0;;24,3;31,0;18,7;72;96;46;19,7;
26/08/2019;0,0;0,0;0;0;;25,1;31,3;19,6;69;94;42;21,3;
27/08/2019;0,0;0,0;0;0;;24,9;30,0;19,9;74;95;49;14,6;
28/08/2019;44,0;0,0;0;0;;20,8;24,6;17,3;84;99;60;6,6;
29/08/2019;0,0;44,0;0;0;;23,8;31,0;17,0;70;99;39;22,0;
30/08/2019;0,0;0,0;0;0;;24,6;31,9;18,2;71;96;42;19,9;
31/08/2019;0,0;0,0;0;0;;23,9;30,1;19,4;76;95;48;16,8;
01/09/2019;0,8;0,8;0;0;;23,5;30,7;18,4;74;96;44;19,9;
02/09/2019;0,4;0,4;0;0;;22,8;28,9;18,2;76;95;45;17,3;
03/09/2019;0,0;0,0;0;0;;22,6;28,5;17,1;71;98;43;20,4;
04/09/2019;0,0;0,0;0;0;;21,5;26,1;17,7;74;93;52;11,9;
05/09/2019;0,0;0,0;0;0;;19,3;26,8;13,9;84;99;52;11,3;
06/09/2019;30,6;28,8;0;0;;15,4;18,1;13,6;93;99;73;3,5;
07/09/2019;3,4;5,2;0;0;;18,1;25,3;13,2;78;99;37;17,9;
08/09/2019;4,8;0,8;0;0;;16,4;22,1;12,3;75;99;46;14,2;
09/09/2019;0,0;4,0;0;0;;17,0;23,9;9,7;63;99;25;20,5;
10/09/2019;0,0;0,0;0;0;;16,3;18,9;13,8;78;89;69;5,4;
11/09/2019;0,2;0,2;0;0;;19,0;26,4;12,7;67;93;33;19,6;
12/09/2019;0,0;0,0;0;0;;20,4;29,7;12,8;69;99;29;20,1;
13/09/2019;0,0;0,0;0;0;;20,9;28,5;14,5;74;99;45;18,6;
14/09/2019;0,0;0,0;0;0;;21,6;29,0;15,8;74;99;46;17,2;
15/09/2019;0,0;0,0;0;0;;22,5;29,1;17,0;70;95;41;17,5;
16/09/2019;0,0;0,0;0;0;;22,7;30,0;16,7;74;99;44;17,4;
17/09/2019;0,0;0,0;0;0;;23,4;30,7;17,4;74;99;42;17,6;
18/09/2019;0,0;0,0;0;0;;22,5;28,8;18,0;77;97;49;14,2;
19/09/2019;2,2;2,2;0;0;;17,7;19,5;16,5;88;99;74;3,6;
20/09/2019;0,0;0,0;0;0;;18,3;21,7;16,5;67;89;47;12,3;
21/09/2019;0,0;0,0;0;0;;17,7;21,3;15,2;66;86;44;11,3;
22/09/2019;0,2;0,0;0;0;;16,4;18,6;14,3;73;87;56;5,1;
23/09/2019;1,6;0,2;0;0;;17,0;22,5;13,2;79;99;53;17,0;
24/09/2019;0,0;1,6;0;0;;16,9;23,8;11,7;76;99;46;12,7;
25/09/2019;0,0;0,0;0;0;;18,3;25,5;12,9;77;98;47;16,6;
26/09/2019;0,0;0,0;0;0;;18,4;24,1;14,4;82;99;56;12,5;
27/09/2019;0,0;0,0;0;0;;19,8;24,1;16,5;80;99;62;9,5;
28/09/2019;0,0;0,0;0;0;;19,5;25,4;15,2;79;99;50;11,5;
29/09/2019;0,0;0,0;0;0;;19,6;25,4;15,5;78;97;53;12,0;
30/09/2019;0,0;0,0;0;0;;19,5;27,0;13,7;77;99;39;15,5;
01/10/2019;0,0;0,0;0;0;;19,0;24,8;14,2;81;99;57;10,4;
02/10/2019;2,8;2,8;0;0;;19,6;25,4;14,9;66;99;27;15,3;
03/10/2019;0,0;0,0;0;0;;15,8;22,8;9,8;47;79;19;17,0;
04/10/2019;0,0;0,0;0;0;;13,2;19,7;7,8;68;92;32;15,7;
05/10/2019;0,0;0,0;0;0;;14,4;23,1;8,3;71;99;36;14,8;
06/10/2019;0,0;0,0;0;0;;14,7;19,5;9,3;79;98;60;10,0;
07/10/2019;0,2;0,0;0;0;;15,6;22,3;9,9;70;99;30;15,7;
08/10/2019;0,0;0,2;0;0;;14,3;21,3;8,4;78;99;50;13,6;
09/10/2019;0,0;0,0;0;0;;14,5;15,8;11,6;85;99;79;2,7;
10/10/2019;0,0;0,0;0;0;;14,3;20,2;9,5;81;99;50;11,6;
11/10/2019;0,0;0,0;0;0;;13,5;20,7;8,2;83;99;51;11,3;
12/10/2019;0,0;0,0;0;0;;13,6;20,2;9,0;84;99;56;10,4;
13/10/2019;0,0;0,0;0;0;;15,0;20,7;10,1;82;99;57;9,8;
14/10/2019;0,0;0,0;0;0;;16,9;21,1;14,3;78;91;57;5,5;
15/10/2019;22,2;0,0;0;0;;15,0;17,2;12,1;96;99;84;2,1;
16/10/2019;17,6;39,8;0;0;;14,1;21,0;10,2;83;99;38;13,4;
17/10/2019;0,0;0,0;0;0;;14,7;20,4;9,5;82;99;57;11,5;
18/10/2019;0,0;0,0;0;0;;15,4;17,9;13,7;88;97;73;4,1;
19/10/2019;0,0;0,0;0;0;;14,8;16,0;14,3;96;99;87;1,4;
20/10/2019;2,0;2,0;0;0;;15,1;15,5;14,8;99;99;99;;
21/10/2019;8,4;5,4;0;0;;15,9;17,0;15,0;99;99;98;1,4;
22/10/2019;12,0;5,2;0;0;;16,8;19,2;15,7;98;99;88;2,7;
23/10/2019;0,2;10,0;0;0;;16,4;18,4;14,7;97;99;87;2,4;
24/10/2019;41,2;12,4;0;0;;14,5;15,7;13,0;99;99;96;;
25/10/2019;22,4;51,0;0;0;;14,6;20,4;11,6;88;99;56;7,0;
26/10/2019;0,0;0,2;0;0;;14,8;23,1;10,4;85;99;46;9,6;
27/10/2019;0,2;0,2;0;0;;14,8;23,4;9,8;86;99;49;8,8;
28/10/2019;0,0;0,0;0;0;;15,2;20,3;11,4;88;99;64;6,6;
29/10/2019;1,0;0,0;0;0;;15,6;17,4;14,1;94;99;84;2,9;
30/10/2019;1,2;1,2;0;0;;14,6;17,4;11,1;95;99;82;3,7;
31/10/2019;3,4;4,0;0;0;;10,7;11,4;9,8;95;99;88;1,1;
01/11/2019;0,2;0,6;0;0;;11,1;11,9;10,3;93;97;86;;
02/11/2019;0,0;0,0;0;0;;11,2;12,3;10,2;89;97;79;1,4;
03/11/2019;5,0;0,0;0;0;;9,8;11,4;7,1;97;99;86;1,4;
04/11/2019;0,6;5,4;0;0;;10,2;16,9;6,9;90;99;50;7,8;
05/11/2019;1,4;0,2;0;0;;11,8;17,4;8,1;89;99;62;6,4;
06/11/2019;0,0;1,4;0;0;;9,8;14,2;6,9;92;99;72;5,6;
07/11/2019;0,2;0,2;0;0;;8,7;10,0;7,7;94;99;84;1,3;
08/11/2019;3,6;3,0;0;0;;9,0;12,3;6,6;92;99;74;5,1;
09/11/2019;0,0;0,6;0;0;;7,9;14,4;4,3;87;99;50;7,1;
10/11/2019;0,0;0,0;0;0;;8,3;10,8;5,4;84;99;67;3,5;
11/11/2019;0,0;0,0;0;0;;7,4;10,4;4,0;87;99;55;2,3;
12/11/2019;5,2;5,0;0;0;;7,4;12,8;2,8;85;99;52;6,3;
13/11/2019;0,0;0,2;0;0;;6,4;14,0;1,9;71;99;27;6,5;
